Alcoholic Beverages_kcal,Animal Products_kcal,Animal fats_kcal,"Aquatic Products, Other_kcal",Cereals - Excluding Beer_kcal,Eggs_kcal,"Fish, Seafood_kcal",Fruits - Excluding Wine_kcal,Meat_kcal,Milk - Excluding Butter_kcal,Miscellaneous_kcal,Offals_kcal,Oilcrops_kcal,Pulses_kcal,Spices_kcal,Starchy Roots_kcal,Stimulants_kcal,Sugar Crops_kcal,Sugar & Sweeteners_kcal,Treenuts_kcal,Vegetal Products_kcal,Vegetable Oils_kcal,Vegetables_kcal,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
0.0,4.7774,0.8504,0.0,37.1186,0.1501,0.0,1.4757,1.2006,2.4512,0.025,0.1251,0.1751,0.5003,0.1001,0.3252,0.075,0.0,2.2261,0.1251,45.2476,2.3012,0.7504,Afghanistan,4.5,29.799999237060547,0.142134196465269,0.00618577887381833,0.12337392108508,0.0125744965063707,38928000.0
0.912,16.093,1.0591,0.0,16.2107,0.8091,0.1471,3.8982,3.8688,9.9441,0.0588,0.2648,1.0886,0.8091,0.0,1.2651,0.2501,0.0,3.4422,0.3972,33.907,2.8244,2.7508,Albania,22.3,6.199999809265137,2.9673009161381296,0.0509513742071882,1.7926356589147299,1.12371388301621,2838000.0
0.0896,6.0326,0.1941,0.0,25.0112,0.4181,0.1195,3.1805,1.2543,3.9869,0.1045,0.0597,0.2688,1.09,0.1195,1.9262,0.1493,0.0,3.9869,0.22399999999999998,43.9749,5.7638,2.0457,Algeria,26.6,3.9000000953674316,0.244897085014767,0.0065581531663548,0.167572198300156,0.0707667335482562,44357000.0
1.9388,4.6927,0.2644,0.0,18.3521,0.0441,0.8372,2.3133,2.9302,0.5067,0.0661,0.1102,1.0795,1.4981,0.0,12.6239,0.0441,0.0,2.7539,0.0,45.3184,4.2741,0.3525,Angola,6.8,25.0,0.0616874730951356,0.00146054978168624,0.0568076994034807,0.00341922390996864,32522000.0
2.3041,15.3672,1.5429,0.0,13.7215,0.2057,1.7280000000000002,3.6824,7.0356,4.6904,0.3086,0.1646,0.5966,0.4526,0.3497,0.8434,0.4937,0.0,5.8218,0.0823,34.6225,4.6904,1.296,Antigua and Barbuda,19.1,5.099999952316284,0.293877551020408,0.007142857142857141,0.190816326530612,0.0959183673469388,98000.0
1.4354,14.9869,1.065,0.0,16.7927,0.8643,0.2006,1.4663,9.4459,3.1641,0.0,0.2624,0.0309,0.1235,0.0309,1.4045,0.2315,0.0,7.0536,0.0463,34.99,5.541,0.8643,Argentina,28.5,4.599999904632568,4.35614738744298,0.108226634638694,3.9051920576503503,0.342728695153933,45377000.0
0.2274,12.833,1.7706,0.0,19.2658,0.731,0.1787,2.5341,4.2235,5.6368,0.1137,0.2924,0.2274,0.4386,0.0162,1.2508,0.6985,0.0,5.2956,0.3086,37.167,3.5737,3.2164,Armenia,20.9,4.300000190734863,5.681224627875509,0.10534506089309899,5.398410013531799,0.17746955345060897,2956000.0
1.9783,15.6146,1.9027,0.0,11.642999999999999,0.4681,0.604,1.6611,7.4902,4.8022,0.2114,0.3473,0.6645,0.1359,0.1057,1.3138,0.5134,0.0,5.7989,0.8457,34.3854,8.3812,1.1326,Australia,30.4,2.5,0.11202531645569601,0.00352954880795216,0.10128912013667801,0.007206647511066241,25754000.0
2.8161,15.6106,5.2532,0.0,12.3748,0.7853,0.4062,1.5976,5.0095,4.0482,0.0,0.1083,0.6905,0.1083,0.1083,1.4622,0.3656,0.0,6.2551,0.4197,34.3894,7.1622,1.0290000000000001,Austria,21.9,2.5,4.73998205070675,0.0896791563832174,4.49687009199013,0.15343280233340803,8914000.0
2.2555,8.1682,1.305,0.0,28.7417,0.5478,0.0967,1.6111,2.9322,3.1738,0.0322,0.1128,0.0483,0.0806,0.0161,2.2072,0.3061,0.0,3.4155,0.4511,41.8237,1.2083,1.4661,Azerbaijan,19.9,2.5,2.28553620894341,0.0312227938266719,2.2255738029283703,0.0287396121883657,10108000.0
