Alcoholic Beverages_kcal,Animal Products_kcal,Animal fats_kcal,"Aquatic Products, Other_kcal",Cereals - Excluding Beer_kcal,Eggs_kcal,"Fish, Seafood_kcal",Fruits - Excluding Wine_kcal,Meat_kcal,Milk - Excluding Butter_kcal,Miscellaneous_kcal,Offals_kcal,Oilcrops_kcal,Pulses_kcal,Spices_kcal,Starchy Roots_kcal,Stimulants_kcal,Sugar Crops_kcal,Sugar & Sweeteners_kcal,Treenuts_kcal,Vegetal Products_kcal,Vegetable Oils_kcal,Vegetables_kcal,Alcoholic Beverages_f,Animal Products_f,Animal fats_f,"Aquatic Products, Other_f",Cereals - Excluding Beer_f,Eggs_f,"Fish, Seafood_f",Fruits - Excluding Wine_f,Meat_f,Miscellaneous_f,Milk - Excluding Butter_f,Offals_f,Oilcrops_f,Pulses_f,Spices_f,Starchy Roots_f,Stimulants_f,Sugar Crops_f,Sugar & Sweeteners_f,Treenuts_f,Vegetal Products_f,Vegetable Oils_f,Vegetables_f,Alcoholic Beverages_p,Animal Products_p,Animal fats_p,"Aquatic Products, Other_p",Cereals - Excluding Beer_p,Eggs_p,"Fish, Seafood_p",Fruits - Excluding Wine_p,Meat_p,Milk - Excluding Butter_p,Offals_p,Oilcrops_p,Pulses_p,Spices_p,Starchy Roots_p,Stimulants_p,Sugar Crops_p,Sugar & Sweeteners_p,Treenuts_p,Vegetal Products_p,Vegetable Oils_p,Vegetables_p,Miscellaneous_p,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Alcoholic Beverages_kg,Animal fats_kg,Animal Products_kg,"Aquatic Products, Other_kg",Cereals - Excluding Beer_kg,Eggs_kg,"Fish, Seafood_kg",Fruits - Excluding Wine_kg,Meat_kg,Milk - Excluding Butter_kg,Miscellaneous_kg,Offals_kg,Oilcrops_kg,Pulses_kg,Spices_kg,Starchy Roots_kg,Stimulants_kg,Sugar & Sweeteners_kg,Sugar Crops_kg,Treenuts_kg,Vegetable Oils_kg,Vegetables_kg,Vegetal Products_kg,Country
0.0,4.7774,0.8504,0.0,37.1186,0.1501,0.0,1.4757,1.2006,2.4512,0.025,0.1251,0.1751,0.5003,0.1001,0.3252,0.075,0.0,2.2261,0.1251,45.2476,2.3012,0.7504,0.0,21.6397,6.2224,0.0,8.0353,0.6859,0.0327,0.4246,6.1244,0.0163,8.2803,0.3103,1.0452,0.196,0.2776,0.049,0.098,0.0,0.0,0.7513,28.3684,17.0831,0.3593,0.0,9.7523,0.0277,0.0,35.9771,0.4067,0.0647,0.5824,3.1337,5.5278,0.5916,0.2034,1.2479,0.1664,0.1941,0.5546,0.0,0.0,0.1387,40.2477,0.0,1.137,0.0462,4.5,29.799999237060547,0.142134196465269,0.00618577887381833,0.12337392108508,0.0125744965063707,38928000.0,0.0014,0.1973,9.4341,0.0,24.8097,0.2099,0.035,5.3495,1.202,7.5828,0.0728,0.2057,0.07,0.2953,0.0574,0.8802,0.3078,1.3489,0.0,0.077,0.5345,6.7642,40.5645,Afghanistan
0.912,16.093,1.0591,0.0,16.2107,0.8091,0.1471,3.8982,3.8688,9.9441,0.0588,0.2648,1.0886,0.8091,0.0,1.2651,0.2501,0.0,3.4422,0.3972,33.907,2.8244,2.7508,0.0,32.0002,3.4172,0.0,2.6734,1.6448,0.1445,0.6418,8.7428,0.017,17.7576,0.2933,3.1622,0.1148,0.0,0.051,0.527,0.0,0.0,0.9181,17.9998,9.2443,0.6503,0.184,27.7469,0.0711,0.0,14.2331,1.8069,0.6274,1.2757,7.6582,16.475,1.1084,0.3722,1.4555,0.0,0.8867,0.2635,0.0,0.0042,0.2677,22.2552,0.0084,3.2456,0.0544,22.3,6.199999809265137,2.9673009161381296,0.0509513742071882,1.7926356589147299,1.12371388301621,2838000.0,1.6719,0.1357,18.7684,0.0,5.7817,0.5815,0.2126,6.7861,1.8845,15.7213,0.1123,0.2324,0.9377,0.23800000000000002,0.0008,1.8096,0.1055,1.5367,0.0,0.1515,0.3261,11.7753,31.2304,Albania
0.0896,6.0326,0.1941,0.0,25.0112,0.4181,0.1195,3.1805,1.2543,3.9869,0.1045,0.0597,0.2688,1.09,0.1195,1.9262,0.1493,0.0,3.9869,0.22399999999999998,43.9749,5.7638,2.0457,0.0,14.4175,0.8972,0.0,4.2035,1.2171,0.2008,0.5772,3.8961,0.0439,8.0934,0.1067,1.1983,0.2698,0.1568,0.1129,0.2886,0.0,0.0,0.8595,35.5857,27.3606,0.5145,0.0323,13.835999999999999,0.0054,0.0,26.5633,1.2916,0.635,1.1624,3.5088,8.0616,0.3283,0.183,2.5509,0.1776,1.4638,0.4628,0.0,0.0,0.2745,36.1694,0.0269,3.1267,0.1399,26.6,3.9000000953674316,0.244897085014767,0.0065581531663548,0.167572198300156,0.0707667335482562,44357000.0,0.2711,0.0282,9.6334,0.0,13.6816,0.5277,0.2416,6.3801,1.1305,7.6189,0.1671,0.087,0.3493,0.4783,0.0557,4.1339999999999995,0.2216,1.8342,0.0,0.1152,1.031,11.6484,40.3651,Algeria
1.9388,4.6927,0.2644,0.0,18.3521,0.0441,0.8372,2.3133,2.9302,0.5067,0.0661,0.1102,1.0795,1.4981,0.0,12.6239,0.0441,0.0,2.7539,0.0,45.3184,4.2741,0.3525,0.0,15.3041,1.3130000000000002,0.0,6.5545,0.1539,1.4155,0.3488,11.0268,0.0308,1.2309,0.1539,3.9902,0.3282,0.0103,0.7078,0.1128,0.0,0.0,0.0308,34.701,22.4638,0.1231,0.6285,15.2311,0.0277,0.0,20.3882,0.1756,5.4436,1.2754,7.6248,1.146,0.8133,2.1534,4.085,0.0,5.1941,0.1017,0.0,0.0092,0.0092,34.7782,0.0092,0.8133,0.0924,6.8,25.0,0.0616874730951356,0.00146054978168624,0.0568076994034807,0.00341922390996864,32522000.0,5.8087,0.055999999999999994,4.9278,0.0,9.1085,0.0587,1.7707,6.0005,2.0571,0.8311,0.1165,0.155,0.4186,0.6507,0.0009,18.1102,0.0508,1.8495,0.0,0.0061,0.6463,2.3041,45.0722,Angola
2.3041,15.3672,1.5429,0.0,13.7215,0.2057,1.7280000000000002,3.6824,7.0356,4.6904,0.3086,0.1646,0.5966,0.4526,0.3497,0.8434,0.4937,0.0,5.8218,0.0823,34.6225,4.6904,1.296,0.0,27.7033,4.6686,0.0,3.2153,0.3872,1.5263,1.2177,14.3202,0.0898,6.6607,0.1347,1.3579,0.0673,0.3591,0.0449,1.0549,0.0,0.0,0.20199999999999999,22.2995,14.4436,0.2469,0.1535,33.1901,0.1289,0.0,10.5108,0.485,8.2146,1.2586,16.067,7.4349,0.8534,0.7674,0.8841,0.3438,0.4666,0.4113,0.0,0.0,0.0737,16.8161,0.043,1.6024,0.2947,19.1,5.099999952316284,0.293877551020408,0.007142857142857141,0.190816326530612,0.0959183673469388,98000.0,3.5764,0.0087,16.6613,0.0,5.996,0.2274,4.1489,10.7451,5.6888,6.3663,0.7139,0.2219,0.2172,0.184,0.1524,1.4522,0.1564,3.8749,0.0,0.0253,0.8102,5.4495,33.3233,Antigua and Barbuda
1.4354,14.9869,1.065,0.0,16.7927,0.8643,0.2006,1.4663,9.4459,3.1641,0.0,0.2624,0.0309,0.1235,0.0309,1.4045,0.2315,0.0,7.0536,0.0463,34.99,5.541,0.8643,0.0,30.3572,3.3076,0.0,1.3316,1.5706,0.1664,0.2091,19.2693,0.0,5.8512,0.1878,0.064,0.0213,0.0213,0.111,0.2475,0.0,0.0,0.1366,19.6449,17.3147,0.1878,0.1704,31.9799,0.0097,0.0,13.6702,2.0593,1.0223,0.5209,21.625,5.8322,1.4313,0.0097,0.2434,0.0292,1.3096,0.9688,0.0,0.0049,0.0438,18.0176,0.0,1.0516,0.0,28.5,4.599999904632568,4.35614738744298,0.108226634638694,3.9051920576503503,0.342728695153933,45377000.0,4.2672,0.2234,19.3454,0.0,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,0.0,0.3779,0.0116,0.0528,0.0122,3.042,0.4378,3.0536,0.0,0.02,0.9541,4.3503,30.6559,Argentina
0.2274,12.833,1.7706,0.0,19.2658,0.731,0.1787,2.5341,4.2235,5.6368,0.1137,0.2924,0.2274,0.4386,0.0162,1.2508,0.6985,0.0,5.2956,0.3086,37.167,3.5737,3.2164,0.0,29.6642,6.2619,0.0,2.5068,1.6196,0.2218,0.5468,10.8165,0.0361,10.4709,0.2734,0.6602,0.0774,0.0103,0.0567,1.8002,0.0,0.0,0.9542,20.3384,12.8127,0.8717,0.0411,22.8846,0.1438,0.0,18.2738,1.756,0.8831,1.1142,8.5233,10.038,1.5404,0.2619,0.9191,0.0154,0.9191,0.5545,0.0,0.0051,0.2208,27.1154,0.0205,4.6621,0.1078,20.9,4.300000190734863,5.681224627875509,0.10534506089309899,5.398410013531799,0.17746955345060897,2956000.0,0.4014,0.1833,13.564,0.0,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,0.2355,0.304,0.0899,0.1441,0.0055,2.0359,0.1863,2.6579,0.0,0.1108,0.4705,16.7019,36.4358,Armenia
1.9783,15.6146,1.9027,0.0,11.642999999999999,0.4681,0.604,1.6611,7.4902,4.8022,0.2114,0.3473,0.6645,0.1359,0.1057,1.3138,0.5134,0.0,5.7989,0.8457,34.3854,8.3812,1.1326,0.0,24.1099,4.603,0.0,0.9908,0.7017,0.4515,0.4028,11.6002,0.052000000000000005,6.5196,0.2339,1.2929,0.026000000000000002,0.1007,0.0422,0.7926,0.0,0.0,1.6145,25.8901,20.3612,0.2144,0.2914,32.9787,0.07400000000000001,0.0046,10.9343,1.0916,2.8585,0.518,18.8298,8.432,1.6929,0.6984,0.2683,0.1203,0.9944,0.7031,0.0,0.0,0.7724,17.0213,0.0463,1.4524,0.2174,30.4,2.5,0.11202531645569601,0.00352954880795216,0.10128912013667801,0.007206647511066241,25754000.0,5.5436,0.3143,21.4175,0.0033,5.4979,0.4428,1.4264,4.1883,6.7049,12.1018,0.5293,0.424,0.3694,0.0546,0.0458,2.7884,0.2928,2.5364,0.0,0.3176,1.2798,5.1406,28.5806,Australia
2.8161,15.6106,5.2532,0.0,12.3748,0.7853,0.4062,1.5976,5.0095,4.0482,0.0,0.1083,0.6905,0.1083,0.1083,1.4622,0.3656,0.0,6.2551,0.4197,34.3894,7.1622,1.0290000000000001,0.0,27.8268,12.8517,0.0,1.2297,1.2147,0.4259,0.2249,8.1099,0.0,5.1497,0.075,1.1367,0.012,0.102,0.045,0.4439,0.0,0.0,0.8398,22.1762,17.9323,0.2039,0.615,30.0009,0.3376,0.0,13.1508,2.1456,1.8358,0.6242,13.6549,11.4954,0.5318,1.5028,0.2405,0.1341,1.045,0.726,0.0,0.0139,0.3561,19.9991,0.0647,1.5259,0.0,21.9,2.5,4.73998205070675,0.0896791563832174,4.49687009199013,0.15343280233340803,8914000.0,7.0215,0.8555,19.5654,0.0011,6.2116,0.7884,0.7562,4.6069,4.681,12.3776,0.0005,0.1052,0.2683,0.0456,0.0494,3.0548,0.4106,2.6094,0.0,0.2367,0.8109,5.1098,30.4338,Austria
2.2555,8.1682,1.305,0.0,28.7417,0.5478,0.0967,1.6111,2.9322,3.1738,0.0322,0.1128,0.0483,0.0806,0.0161,2.2072,0.3061,0.0,3.4155,0.4511,41.8237,1.2083,1.4661,0.0,32.1198,7.7987,0.0,5.4481,2.0197,0.2122,0.594,11.9993,0.017,9.9202,0.1612,0.1867,0.0255,0.017,0.1697,1.3663,0.0,0.0,2.2573,17.8802,7.1538,0.6534,0.3465,16.3039,0.0596,0.0,28.2218,1.4078,0.4873,0.5631,6.8551,6.8497,0.6444,0.0541,0.1787,0.0108,1.7652,0.2328,0.0,0.0,0.3411,33.7015,0.0217,1.9114,0.0433,19.9,2.5,2.28553620894341,0.0312227938266719,2.2255738029283703,0.0287396121883657,10108000.0,3.5969,0.2544,11.6416,0.0,13.0898,0.5593,0.20199999999999999,4.7988,2.1513,8.3212,0.0145,0.1534,0.0145,0.0347,0.0044,4.7041,0.0587,1.5523,0.0,0.1906,0.2235,10.0755,38.3584,Azerbaijan
2.9145,14.793,1.4205,0.0,10.7274,0.6613,1.2491,4.4575,8.1803,2.988,1.0776,0.2694,1.0287,0.1225,0.2204,0.7103,0.4164,0.0,8.6701,0.1714,35.2437,3.1594,1.5185,0.0,30.2259,4.56,0.0,3.6327,1.2829,1.4991,0.8995,17.4941,0.3556,5.1318,0.258,2.6077,0.0209,0.2719,0.0349,0.9343,0.0,0.0,0.4532,19.7741,10.1659,0.3974,0.0325,34.1684,0.0895,0.0,7.8081,1.6755,5.734,1.8788,20.4311,4.8312,1.4152,0.8052,0.2765,0.244,0.366,0.4311,0.0,0.0,0.1464,15.8276,0.0325,2.6759,1.1305,32.1,4.719999980926514,2.10076335877863,0.0447837150127227,1.7351145038167899,0.320865139949109,393000.0,2.0175,0.0062,11.4718,0.0009,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0.0,0.0495,0.511,7.7649,38.5229,Bahamas
0.0,2.3695,0.1541,0.0,37.5265,0.2312,0.8284,0.655,0.3468,0.7706,0.0193,0.0385,0.1348,1.2329,0.5009,1.9264,0.0193,0.0193,1.4255,0.1156,47.6401,3.429,0.6165,0.0,9.8365,1.2369,0.0,6.9946,1.2664,2.1646,0.42700000000000005,1.8407,0.0147,3.2249,0.1178,0.6332,0.5448,1.0602,0.2209,0.0295,0.0147,0.0,0.2651,40.1561,29.6422,0.3092,0.0,9.9195,0.0083,0.0,31.7243,0.7216,5.8306,0.3069,1.2773,1.8578,0.2239,0.5972,3.2512,0.7465,1.9574,0.1161,0.0083,0.0332,0.1078,40.0846,0.0,1.2026,0.0249,3.4,14.699999809265137,0.31669110588955796,0.00482306591523417,0.28434358602900894,0.027524453945315,169809000.0,0.0031,0.0156,5.1926,0.0,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.08199999999999999,0.7065,0.3195,5.3378,0.0529,0.9285,0.195,0.0934,0.7615,3.6405,44.8033,Bangladesh
1.1224,12.0877,1.157,0.0,15.3514,0.5871,1.416,1.9340000000000002,5.664,3.1428,0.8979,0.1036,1.1915,1.2606,0.2936,1.7095,0.2936,0.0,8.0815,0.2763,37.9209,4.4552,1.0534,0.0,25.8451,3.9733,0.0,2.1187,1.213,1.806,0.4636,13.1382,0.3235,5.6176,0.09699999999999999,3.2616,0.2318,0.3181,0.1078,0.6038,0.0,0.0,0.7817,24.1576,15.6882,0.2534,0.1344,28.2153,0.11199999999999999,0.0,12.3067,1.4508,6.6939,0.6890000000000001,13.9872,5.3944,0.5826,1.2324,2.6608,0.3137,1.4228,0.3585,0.0,0.0,0.2465,21.7791,0.027999999999999997,1.4844,0.9075,24.8,3.9000000953674316,0.58397212543554,0.0062717770034843206,0.47003484320557504,0.107665505226481,287000.0,3.565,0.2212,12.4976,0.0,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0.0,0.0852,0.8677,5.4725,37.5167,Barbados
3.2979,12.2644,2.6748,0.0,14.2705,0.8511,0.4863,1.3982,5.7143,2.1884,0.1672,0.3495,0.228,0.0,0.0152,4.9848,0.3951,0.0,4.6049,0.4255,37.7204,6.1246,1.8389,0.0,23.8181,7.8662,0.0,4.8075,1.5772,0.5151,0.2316,11.5636,0.0519,2.0644,0.2316,0.4392,0.0,0.016,0.1957,0.8385,0.0,0.0,1.0462,26.1859,18.2119,0.3394,0.3401,27.0935,0.1328,0.0,13.7248,2.2901,2.4548,0.441,14.2402,6.0202,1.9554,0.5207,0.0053,0.0213,4.1552,0.3029,0.0,0.0,0.3454,22.9065,0.0213,2.8587,0.17,26.6,2.5,2.7408959999999998,0.018912,2.612704,0.10928,9375000.0,3.7563,0.3353,12.7089,0.0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.07200000000000001,0.001,0.0067,9.1691,0.1142,4.0155,0.0,0.1399,0.8804,8.7859,37.2904,Belarus
